100;tid2026.05.27-11:32:55;krd61.80196-34.33015-5;sim31-vg4.12-vc4.55;ddt198-d37525;
105;tid2026.05.27-11:33:08;krd61.80196-34.33017-4;sim31-vg4.12-vc4.54;ddt208-d38974;
110;tid2026.05.27-11:33:20;krd61.80195-34.33014-5;sim29-vg4.12-vc4.55;ddt218-d39343;
115;tid2026.05.27-11:33:32;krd61.80185-34.32999-3;sim29-vg4.12-vc4.55;ddt228-d41146;
120;tid2026.05.27-11:33:44;krd61.80191-34.33003-5;sim31-vg4.12-vc4.55;ddt238-d42118;
125;tid2026.05.27-11:33:57;krd61.80191-34.33018-5;sim31-vg4.12-vc4.53;ddt248-d43676;
135;tid2026.05.27-11:34:21;krd61.80190-34.33009-5;sim31-vg4.12-vc4.55;ddt268-d45828;
140;tid2026.05.27-11:34:34;krd61.80140-34.33117-5;sim31-vg4.12-vc4.55;ddt278-d55167;
145;tid2026.05.27-11:34:46;krd61.80159-34.33085-5;sim31-vg4.12-vc4.52;ddt288-d57946;
150;tid2026.05.27-11:34:58;krd61.80177-34.33051-5;sim31-vg4.12-vc4.55;ddt298-d60578;
155;tid2026.05.27-11:35:11;krd61.80185-34.33027-5;sim31-vg4.12-vc4.55;ddt308-d62728;
160;tid2026.05.27-11:35:23;krd61.80191-34.33004-5;sim31-vg4.12-vc4.55;ddt318-d64485;
165;tid2026.05.27-11:35:35;krd61.80191-34.33006-5;sim31-vg4.12-vc4.53;ddt328-d65613;
170;tid2026.05.27-11:35:48;krd61.80194-34.32998-5;sim31-vg4.12-vc4.55;ddt338-d66824;
175;tid2026.05.27-11:36:00;krd61.80190-34.33007-5;sim31-vg4.12-vc4.55;ddt348-d68189;
180;tid2026.05.27-11:36:12;krd61.80190-34.33006-5;sim31-vg4.12-vc4.55;ddt358-d68903;
185;tid2026.05.27-11:36:25;krd61.80198-34.32993-5;sim31-vg4.12-vc4.53;ddt368-d70245;
190;tid2026.05.27-11:36:37;krd61.80199-34.32991-5;sim31-vg4.12-vc4.55;ddt378-d71230;
195;tid2026.05.27-11:36:49;krd61.80201-34.32992-5;sim31-vg4.12-vc4.55;ddt388-d72268;
200;tid2026.05.27-11:37:02;krd61.80201-34.32989-5;sim31-vg4.12-vc4.55;ddt398-d73220;
205;tid2026.05.27-11:37:14;krd61.80208-34.32978-6;sim31-vg4.12-vc4.53;ddt408-d74442;
210;tid2026.05.27-11:37:26;krd61.80204-34.32978-5;sim31-vg4.12-vc4.55;ddt418-d74939;
215;tid2026.05.27-11:37:39;krd61.80204-34.32974-5;sim31-vg4.12-vc4.55;ddt428-d76308;
225;tid2026.05.27-11:38:03;krd61.80156-34.33110-5;sim31-vg4.12-vc4.55;ddt448-d86796;
230;tid2026.05.27-11:38:16;krd61.80157-34.33103-5;sim31-vg4.12-vc4.54;ddt458-d89002;
235;tid2026.05.27-11:38:28;krd61.80169-34.33078-5;sim31-vg4.12-vc4.55;ddt468-d90800;
240;tid2026.05.27-11:38:40;krd61.80168-34.33054-4;sim31-vg4.12-vc4.55;ddt478-d92447;
245;tid2026.05.27-11:38:53;krd61.80171-34.33052-5;sim31-vg4.12-vc4.54;ddt488-d94374;
250;tid2026.05.27-11:39:05;krd61.80191-34.33003-4;sim31-vg4.12-vc4.55;ddt498-d98610;
255;tid2026.05.27-11:39:17;krd61.80184-34.33005-4;sim31-vg4.12-vc4.55;ddt508-d101013;
260;tid2026.05.27-11:39:29;krd61.80162-34.33051-5;sim31-vg4.12-vc4.52;ddt518-d104572;
265;tid2026.05.27-11:39:42;krd61.80149-34.33085-5;sim31-vg4.12-vc4.55;ddt528-d107158;
270;tid2026.05.27-11:39:54;krd61.80153-34.33080-5;sim31-vg4.12-vc4.55;ddt538-d108763;
275;tid2026.05.27-11:40:06;krd61.80154-34.33075-4;sim31-vg4.12-vc4.55;ddt548-d109499;
295;tid2026.05.27-11:40:56;krd61.80170-34.33042-4;sim31-vg4.12-vc4.55;ddt588-d113161;
305;tid2026.05.27-11:41:20;krd61.80181-34.33006-4;sim31-vg4.12-vc4.55;ddt608-d117704;
715;tid2026.05.27-11:58:09;krd61.80204-34.32957-5;sim31-vg4.12-vc4.55;ddt1428-d127410;
9;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.50;ddt0-d0;
18;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.53;ddt0-d0;
27;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.53;ddt0-d0;
36;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.54;ddt0-d0;
45;tid0.00.00-00:00:00;krd-1.00000--1.00000-0;sim31-vg4.12-vc4.53;ddt0-d0;
